ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
BG0,2017-12-31,20:20,,,,,5,0,0,0
BG1,2017-12-31,23:55,,,,,3,0,0,0
BG2,2017-12-30,13:20,,,,,4,1,0,0
BG3,2017-12-30,17:40,,,,,4,0,0,0
BG4,2017-12-29,14:15,,,,,2,5,0,0
BG5,2017-12-29,12:30,,,,,3,0,0,0
BG6,2017-12-29,07:15,,,,,3,0,0,0
BG7,2017-12-29,12:25,,,,,1,0,0,0
BG8,2017-12-28,19:05,,,,,1,0,0,0
BG9,2017-12-28,20:00,,,,,0,1,0,0
BG10,2017-12-28,16:30,,,,,2,0,0,0
BG11,2017-12-28,15:10,,,,,2,1,0,0
BG12,2017-12-28,13:50,,,,,4,0,0,0
BG13,2017-12-28,22:00,,,,,1,0,0,0
BG14,2017-12-28,13:15,,,,,3,0,0,0
BG15,2017-12-27,16:15,,,,,2,1,0,0
BG16,2017-12-27,19:05,,,,,5,1,0,0
BG17,2017-12-27,09:40,,,,,1,0,0,0
BG18,2017-12-27,06:50,,,,,2,1,0,0
BG19,2017-12-27,18:00,,,,,1,0,0,0
BG20,2017-12-27,21:20,,,,,3,0,0,0
BG21,2017-12-27,07:40,,,,,1,0,0,0
BG22,2017-12-27,07:50,,,,,1,0,0,0
BG23,2017-12-27,17:40,,,,,1,1,0,0
BG24,2017-12-26,10:50,,,,,2,1,0,0
BG25,2017-12-25,12:50,,,,,1,0,0,0
BG26,2017-12-24,23:00,,,,,0,0,0,0
BG27,2017-12-24,00:10,,,,,1,0,0,0
BG28,2017-12-24,16:20,,,,,0,1,0,0
BG29,2017-12-24,13:45,,,,,3,0,0,0
BG30,2017-12-23,07:40,,,,,2,1,0,0
BG31,2017-12-23,20:35,,,,,2,0,0,0
BG32,2017-12-23,13:15,,,,,1,0,0,0
BG33,2017-12-23,15:30,,,,,1,1,0,0
BG34,2017-12-23,14:35,,,,,2,2,0,0
BG35,2017-12-23,16:00,,,,,1,2,0,0
BG36,2017-12-23,08:45,,,,,1,1,0,0
BG37,2017-12-23,17:30,,,,,1,1,0,0
BG38,2017-12-23,18:00,,,,,2,1,0,0
BG39,2017-12-23,13:25,,,,,1,0,0,0
BG40,2017-12-23,17:00,,,,,4,0,0,0
BG41,2017-12-22,16:45,,,,,2,2,0,0
BG42,2017-12-22,16:00,,,,,4,0,0,0
BG43,2017-12-22,14:05,,,,,3,1,0,0
BG44,2017-12-22,12:00,,,,,2,0,0,0
BG45,2017-12-22,12:40,,,,,3,1,0,0
BG46,2017-12-22,22:00,,,,,2,0,0,0
BG47,2017-12-21,21:45,,,,,4,3,0,0
BG48,2017-12-21,13:30,,,,,2,0,0,0
BG49,2017-12-21,13:30,,,,,3,0,0,0
BG50,2017-12-21,17:30,,,,,3,1,0,0
BG51,2017-12-21,11:35,,,,,2,0,0,0
BG52,2017-12-21,21:30,,,,,2,1,0,0
BG53,2017-12-21,15:35,,,,,3,0,0,0
BG54,2017-12-21,13:15,,,,,2,0,0,0
BG55,2017-12-21,15:35,,,,,1,0,0,0
BG56,2017-12-20,18:50,,,,,1,1,0,0
BG57,2017-12-20,14:55,,,,,4,0,0,0
BG58,2017-12-20,21:00,,,,,3,1,0,0
BG59,2017-12-20,10:00,,,,,0,1,0,0
BG60,2017-12-20,12:45,,,,,2,1,0,0
BG61,2017-12-20,09:10,,,,,0,2,0,0
BG62,2017-12-20,15:40,,,,,0,1,0,0
BG63,2017-12-19,13:30,,,,,3,0,0,0
BG64,2017-12-19,14:15,,,,,2,2,0,0
BG65,2017-12-19,16:20,,,,,2,0,0,0
BG66,2017-12-19,17:15,,,,,1,1,0,0
BG67,2017-12-19,20:10,,,,,2,0,0,0
BG68,2017-12-18,14:50,,,,,2,0,0,0
BG69,2017-12-18,11:20,,,,,0,2,0,0
BG70,2017-12-18,17:25,,,,,2,0,0,0
BG71,2017-05-13,17:10,,,,,5,0,0,0
BG72,2017-05-13,19:30,,,,,4,0,0,0
BG73,2017-05-13,08:35,,,,,3,1,0,0
BG74,2017-05-13,09:20,,,,,3,0,0,0
BG75,2017-05-13,11:40,,,,,1,1,0,0
BG76,2017-05-12,07:45,,,,,1,1,0,0
BG77,2017-05-12,16:30,,,,,1,1,0,0
BG78,2017-05-12,13:00,,,,,3,0,0,0
BG79,2017-05-11,15:50,,,,,1,0,0,0
BG80,2017-05-11,12:55,,,,,1,1,0,0
BG81,2017-05-10,10:00,,,,,1,2,0,0
BG82,2017-05-10,13:05,,,,,2,0,0,0
BG83,2017-05-10,08:20,,,,,2,1,0,0
BG84,2017-05-10,10:20,,,,,2,0,0,0
BG85,2017-05-09,12:30,,,,,2,0,0,0
BG86,2017-05-08,22:40,,,,,4,0,0,0
BG87,2017-05-08,07:55,,,,,0,2,0,0
BG88,2017-05-08,08:45,,,,,3,2,0,0
BG89,2017-05-08,14:00,,,,,0,1,0,0
BG90,2017-05-08,15:30,,,,,3,0,0,0
BG91,2017-05-08,08:35,,,,,0,0,0,0
BG92,2017-05-08,16:45,,,,,3,0,0,0
BG93,2017-05-08,10:15,,,,,2,0,0,0
BG94,2017-05-08,09:10,,,,,1,1,0,0
BG95,2017-12-18,21:50,,,,,2,0,0,0
BG96,2017-12-18,15:35,,,,,2,0,0,0
BG97,2017-12-18,13:40,,,,,0,1,0,0
BG98,2017-12-18,16:45,,,,,0,0,0,0
BG99,2017-12-17,18:20,,,,,1,1,0,0
BG100,2017-12-17,20:00,,,,,2,0,0,0
BG101,2017-12-16,19:45,,,,,2,1,0,0
BG102,2017-12-16,15:15,,,,,0,1,0,0
BG103,2017-12-16,03:22,,,,,1,0,0,0
BG104,2017-12-16,07:55,,,,,4,0,0,0
BG105,2017-12-15,12:30,,,,,2,0,0,0
BG106,2017-12-15,11:40,,,,,2,0,0,0
BG107,2017-12-15,12:40,,,,,1,1,0,0
BG108,2017-12-15,10:30,,,,,1,1,0,0
BG109,2017-12-15,17:50,,,,,3,0,0,0
BG110,2017-12-15,16:45,,,,,2,0,0,0
BG111,2017-12-14,14:40,,,,,3,0,0,0
BG112,2017-12-14,08:50,,,,,3,0,0,0
BG113,2017-12-14,13:00,,,,,2,0,0,0
BG114,2017-12-14,10:00,,,,,1,0,0,0
BG115,2017-12-14,08:40,,,,,1,1,0,0
BG116,2017-12-14,07:10,,,,,3,0,0,0
BG117,2017-12-14,18:15,,,,,2,0,0,0
BG118,2017-12-14,07:55,,,,,2,1,0,0
BG119,2017-12-14,12:40,,,,,1,1,0,0
BG120,2017-12-13,10:00,,,,,5,0,0,0
BG121,2017-12-13,12:00,,,,,0,2,0,0
BG122,2017-12-13,10:30,,,,,3,0,0,0
BG123,2017-12-13,17:30,,,,,4,0,0,0
BG124,2017-12-12,11:10,,,,,1,1,0,0
BG125,2017-12-12,10:44,,,,,3,0,0,0
BG126,2017-12-12,17:45,,,,,3,0,0,0
BG127,2017-12-12,07:45,,,,,1,1,0,0
BG128,2017-12-12,10:05,,,,,0,1,0,0
BG129,2017-12-12,18:15,,,,,2,0,0,0
BG130,2017-12-12,17:00,,,,,1,1,0,0
BG131,2017-12-12,16:45,,,,,4,0,0,0
BG132,2017-12-11,00:15,,,,,2,0,0,0
BG133,2017-12-11,14:35,,,,,3,0,0,0
BG134,2017-12-11,23:00,,,,,1,0,0,0
BG135,2017-12-11,13:25,,,,,2,1,0,0
BG136,2017-12-11,19:35,,,,,2,1,0,0
BG137,2017-12-10,22:45,,,,,4,2,0,0
BG138,2017-12-10,23:30,,,,,3,0,0,0
BG139,2017-12-09,11:30,,,,,1,1,0,0
BG140,2017-12-09,13:45,,,,,3,0,0,0
BG141,2017-12-09,14:40,,,,,1,0,0,0
BG142,2017-12-09,09:30,,,,,1,1,0,0
